+ voo BA95 removido
+ voo LR2343 removido
+ voo TJ427 removido
+ voo KE76 removido
+ voo IG30 removido
+ voo BA95 inexistente
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
HT88   SCKG JFYC 05:30 14:22
QL821  JFYC FLSY 20:16 16:18
UJ9132 FLSY TUDB 04:52 01:44
ZD4918 TUDB DJER 19:32 16:04
EO5    DJER KLK  03:09 23:55
UL6906 KLK  AWFS 01:50 04:12
GS7380 AWFS IGO  15:44 01:22
Tempo de viagem: 7792 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
LG688  NOAD YOQY 21:36 22:55
WC8686 YOQY IAWG 05:25 23:36
EQ76   IAWG JZDA 08:10 09:41
PC266  JZDA KINN 15:29 01:10
IW8288 KINN PPT  06:59 23:47
JJ151  PPT  OPGU 00:52 13:17
LC5861 OPGU SSR  10:35 00:26
GB278  SSR  NDB  11:17 23:11
Tempo de viagem: 6752 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
DJ425  YDQ  JDX  00:53 11:00
CF643  JDX  GPT  08:56 15:28
PY815  GPT  WOM  15:30 04:57
QZ6368 WOM  BQG  17:26 02:01
Tempo de viagem: 7558 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
QE7524 MSFU WYEO 07:19 09:22
ZH4167 WYEO XHWR 11:58 17:43
MI42   XHWR XZR  10:36 17:10
DP179  XZR  EPHE 09:15 20:03
Tempo de viagem: 4367 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
MN45   DGC  ALGZ 02:12 01:05
YJ952  ALGZ MWKJ 15:25 13:37
CJ4    MWKJ MGM  00:39 05:27
JW99   MGM  NUMB 22:46 07:20
PT707  NUMB OYFL 18:00 03:15
CI2300 OYFL YLBW 11:16 01:58
Tempo de viagem: 8506 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
XJ6    UWR  CQDP 00:20 14:25
BM3249 CQDP HUEG 02:56 03:22
TU5807 HUEG IAX  00:40 14:33
Tempo de viagem: 5294 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
JE5676 XHZ  MSF  14:57 08:23
IQ26   MSF  ZSW  14:51 09:17
DI4817 ZSW  VELY 21:59 02:50
ME974  VELY EDD  02:19 03:14
XT9429 EDD  MOOT 03:54 13:05
DY84   MOOT SAL  18:49 23:59
Tempo de viagem: 6316 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
VP5822 AXNW DKKL 09:45 08:42
HK98   DKKL ZZP  11:33 05:55
LX4461 ZZP  WOM  08:46 19:57
MR66   WOM  UVVW 03:30 19:00
ML521  UVVW SJD  19:34 19:21
DX36   SJD  WNF  03:30 22:15
TD9    WNF  ZWJ  07:22 22:07
QV261  ZWJ  QHML 00:28 14:43
ZO1884 QHML XHH  12:37 04:09
Tempo de viagem: 9076 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
TR598  PCON WKO  01:29 11:24
MF3821 WKO  UETO 04:34 20:02
VF6354 UETO GXDO 08:26 00:16
OD7    GXDO CHI  07:39 06:59
EF46   CHI  BYHL 09:27 11:26
WN9981 BYHL RMHO 16:37 13:56
JX5321 RMHO NWU  15:27 07:05
VR9018 NWU  ZAOC 11:30 11:32
Tempo de viagem: 9122 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
DP5    BBZ  NFR  17:00 21:31
EK2    NFR  PIGM 22:37 20:59
OF527  PIGM ZBVK 13:00 06:32
LL1    ZBVK LPV  04:16 07:02
EA554  LPV  VKZ  07:16 01:20
ZD830  VKZ  KTD  10:29 06:36
Tempo de viagem: 7357 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
LM420  OPG  LEN  09:13 17:21
HX3    LEN  RZY  10:41 11:03
PC6    RZY  WGW  12:56 11:00
JB887  WGW  VVO  21:41 00:11
HJ49   VVO  XGIB 02:18 16:10
PZ5778 XGIB MYX  11:10 04:24
IX2686 MYX  URNF 06:44 05:25
Tempo de viagem: 8481 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
TN22   VVLA OFW  11:34 00:16
LA72   OFW  VPSI 19:14 18:28
Tempo de viagem: 2999 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
RC88   IAL  XRMH 12:58 20:34
NU7    XRMH FMJ  02:28 17:01
GT3412 FMJ  ZXI  20:06 09:12
PY2    ZXI  CFI  12:41 22:41
HX92   CFI  VLU  03:54 22:08
PJ98   VLU  CEWI 04:10 19:49
Tempo de viagem: 6604 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
FF3163 NKI  CCS  05:01 13:42
GC876  CCS  STC  04:28 14:30
Tempo de viagem: 2043 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
MF63   FFO  JUYM 21:04 21:19
KX1394 JUYM IAIT 04:29 13:42
PG742  IAIT RHQU 17:19 01:35
PU77   RHQU SBPL 12:18 06:28
IM86   SBPL FNDH 04:16 22:34
Tempo de viagem: 7391 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
KM1992 YTN  IBY  11:52 12:06
CS88   IBY  TCQ  23:40 11:07
EM19   TCQ  XQC  01:00 08:16
UO19   XQC  JSI  15:53 01:23
ZX4004 JSI  UAD  04:40 08:22
TL9089 UAD  XIE  14:49 18:32
ER346  XIE  MXZW 08:54 03:43
Tempo de viagem: 6486 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
RR841  GMIE PORW 21:37 12:06
US8819 PORW QYK  16:52 12:18
YD591  QYK  FZYS 04:04 08:59
AM2208 FZYS CZK  14:55 17:08
ME3    CZK  ZAPI 18:22 17:40
TO943  ZAPI XLCK 08:19 21:05
NZ80   XLCK FFZ  01:47 07:30
Tempo de viagem: 5428 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
AL8437 VHHJ FXF  20:31 03:27
QO1700 FXF  ICQ  18:46 15:58
JO97   ICQ  BYWV 16:34 16:26
TZ4    BYWV LUXZ 01:26 21:58
WQ890  LUXZ JFTA 23:28 12:31
RC586  JFTA QSZ  18:34 03:05
LN3    QSZ  AZT  17:05 08:51
Tempo de viagem: 4769 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
SD2    UJXN XAH  02:13 23:35
SE663  XAH  SKBL 14:24 23:28
BB8974 SKBL OSAH 21:32 14:13
EB559  OSAH ABRQ 22:15 17:38
FQ4388 ABRQ RIMT 21:01 21:26
QT312  RIMT KFPJ 04:16 15:20
HW39   KFPJ YJU  15:54 03:46
Tempo de viagem: 9447 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
DM83   GMZB ZQI  21:42 08:15
WG23   ZQI  VGU  09:44 09:54
NW281  VGU  UDRG 14:00 08:42
LS1847 UDRG PGLL 22:27 13:48
LD4453 PGLL KHRS 17:38 11:13
BT7    KHRS CPRH 15:55 12:20
NN910  CPRH WOKY 20:53 02:14
DB781  WOKY TAR  03:26 08:27
HZ74   TAR  LDW  10:39 03:37
Tempo de viagem: 8054 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
AX2    TZK  BFV  11:24 07:57
CQ331  BFV  ERD  11:53 23:07
GO40   ERD  FBK  08:43 08:24
Tempo de viagem: 3916 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
YA7529 TNHR NMN  07:18 10:49
VR466  NMN  RKT  01:50 17:15
RR6031 RKT  TWMK 16:18 04:43
PM3527 TWMK BBZ  18:56 08:22
DP5    BBZ  NFR  17:00 21:31
PN931  NFR  EMJ  06:23 06:13
JF407  EMJ  MIED 20:29 05:22
Tempo de viagem: 8732 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
ER7631 YXS  OMA  15:40 09:43
BD159  OMA  DAK  21:15 23:57
XF8    DAK  XWEC 02:17 11:19
HL4    XWEC SOJC 03:10 18:18
EX98   SOJC LUVP 00:29 06:49
GA4    LUVP FHKQ 18:13 09:26
Tempo de viagem: 7196 minutos
Voo    De   Para Parte Chega
====== ==== ==== ===== =====
YT869  YCU  HWM  21:45 04:39
PG1    HWM  LDTO 08:52 13:25
JT78   LDTO OWYE 15:58 18:53
SL1058 OWYE TYE  21:26 07:57
AS452  TYE  GUO  14:38 05:38
ED9794 GUO  GWGD 17:27 00:48
YK5546 GWGD LRM  10:02 05:02
VA8810 LRM  FWPY 15:52 06:33
Tempo de viagem: 7691 minutos
Voo    De   Para Parte Chega
